E (keV), E * Flux (counts cm-2 s-1) 
14.653626020638969, 0.00025143606550491135
16.135855665427048, 0.00030321653120930965
16.960434191784437, 0.0003411595857935135
17.073518714759, 0.0001972448900147899
18.125796666229714, 0.0002567224098280307
20.36114548851906, 0.00025318600118551585
18.988866229612636, 0.00020994913970894235
19.630397955336456, 0.00038921239295875077
22.27220987738351, 0.0003364601474282709
22.42069671511777, 0.0002868509990001732
24.28181265950479, 0.00017051112959006593
24.525082814343083, 0.00019452786184942964
28.011120556221464, 0.00018402865350426796
15.45372229436405, 0.00033880171860935655
14.174746801373953, 0.00033880171860935655
8.961499610627229, 0.0003053268467117686
9.705389415931267, 0.00030959153944536117
10.722668925360384, 0.00030959153944536117
11.308132717017493, 0.0002657810035727354
12.576705660827345, 0.0002868509990001732
15.608527418968455, 0.0002462585758638642
